Address,Rank,Size,Symbol,Tag
0x001035E0,U,000014,std::numpunct<char>::~numpunct,
0x001035F0,U,000006,,
0x001035FC,U,000012,,
0x0010360C,U,000004,operator_new-fun,
0x00103610,U,000106,__ARM_array_new_general,
0x001036B4,U,000042,__aeabi_vec_cctor_nocookie_nodtor,
0x001036DE,U,000018,__aeabi_vec_new_cookie,
0x001036FA,U,000010,__cxa_pure_virtual,
0x00103704,U,000018,__cxa_vec_new,
0x00103778,U,000032,fputc,
0x00103798,U,000072,__rw::__rw_facet_maker<>::_C_maker_func,
0x001037E0,U,000014,__rw::__rw_locale_vector<>::~__rw_locale_vector,
0x001037EE,U,000014,__rw::__rw_locale_vector::~__rw_locale_vector,
0x001037FC,U,000008,__rw::__rw_locale_vector_std::string::operator[],
0x00103804,U,000120,__rw::__rw_locale_vector_std::__rw_open_cat_data_::resize,
0x00103884,U,000016,__rw::__rw_locale_vector::~__rw_locale_vector,
0x00103898,U,000094,std::collate<char>::do_compare,
0x001038F6,U,000064,std::collate<char>::do_transform,
0x00103936,U,000068,std::collate<char>::do_hash,
0x0010397C,U,000130,std::messages<char>::do_get,
0x00103A08,U,000010,std::messages<char>::do_open,
0x00103A12,U,000010,std::messages<char>::do_close,
0x00103A1C,U,000010,std::numpunct<char>::do_grouping,
0x00103A26,U,000010,std::numpunct<char>::do_truename,
0x00103A30,U,000010,std::numpunct<char>::do_falsename,
0x00103A3A,U,000004,std::numpunct<char>::do_decimal_point,
0x00103A3E,U,000004,std::numpunct<char>::do_thousands_sep,
0x00103A48,U,000050,std::string::_C_allocate,
0x00103A7C,U,000370,std::string::replace,
0x00103BF8,U,000076,std::string::operator=,
0x00103C48,U,000132,std::numpunct<char>::_C_initfacet,
0x00103CCC,U,000016,_printf_percent,
0x00103D8C,U,000012,nn::init::ExitHandler::HandleNotification(couldbewrong),
0x00103D98,U,001092,nnMain,
0x00104080,U,000044,nninitCallStaticInitializers,
0x001040B4,U,000076,nninitLocale,
0x00104108,U,000032,nninitSetup,
0x00104128,U,000112,nninitStartUp,
0x00104148,U,000080,nn::applet::CTR::detail::Initialize,
0x001041A0,U,000064,Mem::Start,
0x001041E8,U,000048,Boot::entry,
0x00104224,U,000916,MessageDrawer::InitializeFont,
0x0010425C,U,000192,,
0x00104324,U,000096,,
0x00104388,U,000028,MemAlc::MemAlc,
0x001043A8,U,000112,,
0x00104474,U,000780,,
0x001047B0,U,000164,MessageDrawer::finalizeFont,
0x0010485C,U,000172,nn::fs::Initialize,
0x00104918,U,000080,nn::fs::InitializeLatencyEmulation,
0x0010496C,U,000052,nninitSystem,
0x0010498C,U,000012,nn::os::CTR::detail::SetInternalErrorHandlingMode,
0x0010499C,U,000296,nn::hid::CTR::Initialize,
0x001049B4,U,000184,,
0x001049C0,U,000072,nn::ptm::CTR::Initialize,
0x00104A10,U,000052,nn::ptm::CTR::Finalize,
0x00104A4C,U,000972,Grp::Initialize,
0x00104E50,U,000204,,
0x00104F20,U,000124,CtrAcl::getAcelReader,
0x00104FB0,U,000376,Mem_getRom,
0x00105130,U,000220,,
0x00105214,U,000600,GameWork::initializeRO,
0x001054C8,U,000064,GameWork::finalizeRO,
0x0010550C,U,000380,CtrTp::getTouchReader,
0x0010569C,U,000504,Backup::start,
0x001058B8,U,000244,CtrBtn::getPadReader,
0x001059C0,U,000348,MessageSys::initWork,
0x00105B2C,U,000708,SndSys::onInitialize,
0x00105E10,U,000344,SndSys::func,
0x00105F70,U,000164,SndSys::finalize,
0x00106028,U,000532,,
0x00106250,U,000036,,
0x00106274,U,000016,,
0x00106284,U,000388,GameWork::initGameWork,
0x0010640C,U,000120,Boot::startApplication,
0x00106498,U,000516,Grp::start,
0x00106714,U,000068,,
0x00106768,U,000088,,
0x001067D4,U,000012,,
0x001067E4,U,000004,,
0x00106818,U,000372,SoundHandle::StartPrepared,
0x00106990,U,000140,,
0x00106A20,U,000376,,
0x00106BA0,U,000044,,
0x00106BCC,U,000028,,
0x00106BE8,U,000040,VramAlcRange::term,
0x00106C10,U,000044,Grp::mergeVram,
0x00106C3C,U,000076,VramAlcRange::merge,
0x00106C88,U,000052,Grp::splitVram,
0x00106CBC,U,000072,,
0x001070B8,U,000164,MsgDataAcsrBase::init,
0x0010717C,U,000040,nn::fs::GetRomRequiredMemorySize,
0x001071A4,U,000036,nn::fs::CTR::MPCore::detail::UserFileSystem::Initialize,
0x001071D0,U,000044,nn::fs::ipc::FileSystem::SetPriority,
0x00107200,U,000012,nn::fs::detail::RegisterGlobalFileSystemBase,
0x00107210,U,000276,nn::fs::Unmount,
0x00107370,U,000052,nn::fs::MountAddOnContent,
0x001073AC,U,000012,,
0x001073BC,U,000056,nn::os::WaitableCounter::Initialize,
0x001073F8,U,000012,,
0x00107408,U,000080,nn::svc::GetResourceLimitCurrentValues,
0x0010745C,U,000012,nn::os::GetAppMemorySize,
0x0010746C,U,000216,nn::os::SetDeviceMemorySize,
0x0010754C,U,000012,nn::os::GetDeviceMemoryAddress,
0x0010755C,U,000184,nn::os::SetupHeapForMemoryBlock,
0x00107608,U,000016,nn::os::detail::InitializeStackMemory,
0x0010761C,U,000016,nn::os::detail::SaveThreadLocalRegionAddress,
0x00107630,U,000016,nn::os::detail::SaveThreadLocalRegionAddress,
0x00107644,U,000040,nn::ro::detail::InitializeImpl,
0x00107670,U,000076,nn::ro::RegisterList,
0x001076C4,U,000348,nn::ro::Finalize,
0x00107834,U,000052,nn::cfg::CTR::GetLanguage,
0x00107870,U,000116,nn::cfg::CTR::IsDebugMode,
0x001078E8,U,000108,nn::cfg::CTR::GetFsLatencyEmulationParam,
0x00107B3C,U,000008,,
0x00107B48,U,000008,nn::hid::CTR::GetAccelerometer,
0x00107B54,U,000132,nn::hid::CTR::TouchPanelReader::ReadLatest,
0x00107BDC,U,000080,,
0x00107C2C,U,000088,nn::hid::CTR::AnalogStickClamper::AnalogStickClamper,
0x00107C90,U,000196,nn::hid::CTR::AccelerometerReader::ReadLatest,
0x00107D54,U,000120,nn::hid::CTR::AccelerometerReader::ConvertToAcceleration,
0x00107DD0,U,000136,nn::hid::CTR::AccelerometerReader,
0x00107E58,U,000020,nn::hid::CTR::AccelerometerReader::~AccelerometerReader,
0x00107E6C,U,000008,,
0x00107E78,U,000300,nn::hid::CTR::PadReader::ReadLatest,
0x00107FA8,U,000052,nn::hid::CTR::PadReader::PadReader,
0x00107FE0,U,000120,nninitSetupDaemons,
0x00108024,U,000176,nninitSetupDefault,
0x001080F8,U,000100,nn::srv::RegisterNotificationHandler,
0x00108160,U,000024,nn::font::ResFont::RemoveResource,
0x00108178,U,000244,nn::init::InitializeAllocator,
0x0010827C,U,000068,nn::applet::CTR::ReplySleepQuery,
0x001082C0,U,000016,nn::applet::CTR::SetAwakeCallback,
0x001082D4,U,000016,nn::applet::CTR::SetSleepQueryCallback,
0x001082E8,U,000260,nn::applet::CTR::ProcessPowerButtonAndWait,
0x001083F4,U,000020,nn::applet::CTR::IsExpectedToReplySleepQuery,
0x00108408,U,000012,nn::applet::CTR::detail::IsAppletMode,
0x00108578,U,000348,nn::applet::CTR::detail::InitializeConnect,
0x001086DC,U,000012,,
0x001086EC,U,000168,nn::applet::CTR::detail::Enable,
0x00108798,U,000300,Boot::Boot,
0x001088DC,U,000052,CtrFS::mountSaveData,
0x00108914,U,000112,CtrFS::unmountSaveData,
0x00108988,U,000292,Backup::isBusyCopying,
0x00108AC8,U,000440,Backup::writeInitData,
0x00108CA0,U,000044,MemAlc::initCore,
0x00108CCC,U,000136,,
0x00108D58,U,000288,REDSPARK_Sd_RSSound_start,
0x00108E7C,U,000092,,
0x00108EDC,U,000744,Prim::setShaders,
0x00109208,U,000048,,
0x00109238,O,000012,TaskMan::entry,
0x00109244,U,000120,Grp::getTexture,
0x001092C0,U,000032,,
0x001092E0,U,000104,,
0x0010934C,U,000100,,
0x001093B4,U,000616,GameWork_begin,
0x00109634,U,000200,GameWork::updatePlayTime,
0x00109714,U,000120,,
0x00109790,U,000172,,
0x00109840,U,000644,,
0x001098B4,U,000712,,
0x00109B90,U,000044,SndSys::finalizeDsp,
0x00109BC0,U,000080,SndSys::initializeDsp,
0x00109C14,U,000176,REDSPARK::Sd::RSSound::RSSound,
0x00109CD4,U,000328,REDSPARK::Sd::RSSound::finalize,
0x00109E00,U,000028,awakeCallback,
0x00109E24,U,000032,sleepQueryCallback,
0x00109E48,U,000764,Boot::beginState,
0x0010A170,U,000460,Boot::startCtr,
0x0010A358,U,000036,operator_new,
0x0010A37C,U,000316,glBindRenderbuffer,
0x0010A4C4,U,000464,glDeleteFramebuffers,
0x0010A6A0,U,000372,glDeleteRenderbuffers,
0x0010A824,U,000188,glFramebufferRenderbuffer,
0x0010A8E8,U,000560,glGenFramebuffers,
0x0010AB20,U,000560,glGenRenderbuffers,
0x0010AD58,U,000252,glRenderbufferStorage,
0x0010AE68,U,000044,nngxActiveDisplay,
0x0010AE98,U,000008,,
0x0010AEA0,U,000344,nngxBindCmdlist,
0x0010B008,U,000256,nngxBindDisplaybuffer,
0x0010B110,U,000212,nngxCmdlistStorage,
0x0010B1F8,U,000304,nngxDeleteCmdlists,
0x0010B33C,U,000292,,
0x0010B468,U,000032,nngxDisplayEnv,
0x0010B48C,U,000224,,
0x0010B578,U,000344,nngxFinalize,
0x0010B6DC,U,000300,nngxGenCmdlists,
0x0010B810,U,000304,,
0x0010B948,U,000492,nngxGetCmdlistParameteri,
0x0010BB20,U,000052,nngxGetVramEndAddr,
0x0010BB5C,U,000068,nngxGetVramStartAddr,
0x0010BBAC,U,002848,nngxInitialize,
0x0010C850,U,000024,,
0x0010C868,U,000092,nngxRunCmdlist,
0x0010C8C8,U,000020,,
0x0010C8E0,U,000164,FieldSystem::startGx,
0x0010C984,U,000152,nngxWaitCmdlistDone,
0x0010CA20,U,000036,nn::svc::ControlMemory,
0x0010CA44,U,000024,nn::svc::CreateAddressArbiter,
0x0010CA5C,U,000024,nn::svc::GetResourceLimit,
0x0010CA74,U,000080,,
0x0010CAC4,U,000080,,
0x0010CB14,U,000396,,
0x0010CCA0,U,001212,nn::ro::Initialize,
0x0010D098,U,000104,LMSi_SearchBlockByName,
0x0010D100,U,000180,LMS_sum,
0x0010D1B4,U,000028,MemAlcBase::GetOpt,
0x0010D1D0,U,000068,MessageSys::GetPath,
0x0010D250,U,000076,MessageSys::MessageSys,
0x0010D2AC,U,000140,CtrFileBase::open,
0x0010D33C,U,000056,CtrFileBase::close,
0x0010D374,U,000172,,
0x0010D420,U,000056,,
0x0010D458,U,000152,,
0x0010D4F0,U,000068,SoundHandle::DetachSound,
0x0010D540,U,000056,,
0x0010D594,U,000024,,
0x0010D5AC,U,000028,,
0x0010D5C8,U,000084,nn::fs::CommitSaveData,
0x0010D624,U,000372,nn::fs::GetRomRequiredMemorySizeImpl,
0x0010D7A8,U,000144,nn::fs::CTR::MPCore::detail::UserFileSystem::TryOpenFile,
0x0010D83C,U,000092,nn::fs::CTR::MPCore::detail::UserFileSystem::TryReadFile,
0x0010D89C,U,000024,nn::fs::CTR::MPCore::detail::UserFileSystem::CloseFile,
0x0010D8B4,U,000052,nn::fs::ipc::FileSystem::InitializeWithSdkVersion,
0x0010D8EC,U,000008,,
0x0010D8F4,U,000136,nn::fs::detail::FileBase::TryRead,
0x0010D97C,U,000160,nn::fs::MountAddOnContent,
0x0010DA1C,U,000236,,
0x0010DB08,U,000080,,
0x0010DB58,U,000252,,
0x0010DCAC,U,000048,,
0x0010DCDC,U,000068,,
0x0010DD20,U,000044,nn::os::InitializeMemoryBlock,
0x0010DD60,U,000004,nn::os::Thread::NoParameterFunc,
0x0010DD64,U,000064,nn::ro::RegistrationList::Unregister,
0x0010DDA8,U,000324,nn::ro::Module::Unload,
0x0010DEF4,U,000060,nn::ro::detail::DynamicLoader::RegisterList,
0x0010DF38,U,000060,nn::ro::detail::DynamicLoader::UnregisterList,
0x0010DF7C,U,000060,nn::ro::detail::DynamicLoader::Cleanup,
0x0010DFC0,U,000096,nn::ro::detail::IsCodeAddress,
0x0010E024,U,000012,nn::ro::detail::UpdateRegistrationListNode,
0x0010E034,U,000040,nn::cfg::CTR::Initialize,
0x0010E05C,U,000304,nn::cfg::CTR::detail::FinalizeInit,
0x0010E0F4,U,000100,nn::cfg::CTR::detail::InitializeProperPort,
0x0010E15C,U,000032,nn::cfg::CTR::GetRegion,
0x0010E17C,U,000044,nn::dsp::CTR::UnloadComponent,
0x0010E1AC,U,000064,nn::dsp::CTR::Finalize,
0x0010E1F8,U,000040,nn::err::CTR::ThrowFatalErrAll,
0x0010E228,U,000040,nn::fnd::ExpHeapBase::Initialize,
0x0010E250,U,000180,,
0x0010E30C,U,000076,nn::hid::CTR::AnalogStickClamper::ClampValueOfClamp,
0x0010E358,U,000148,nn::hid::CTR::AnalogStickClamper::ClampCore,
0x0010E3EC,U,000152,nn::hid::CTR::AccelerometerReader::ResetAxisRotationMatrix,
0x0010E494,U,000544,nn::hid::CTR::AccelerometerReader::Read,
0x0010E6BC,U,000376,nn::hid::CTR::AccelerometerReader::Transform,
0x0010E838,U,000116,nn::hid::CTR::detail::Ipc::GetIPCHandles,
0x0010E8B0,U,000044,nn::hid::CTR::detail::Ipc::EnableAccelerometer,
0x0010E8E0,U,000044,nn::hid::CTR::detail::Ipc::DisableAccelerometer,
0x0010E910,U,000024,nn::hid::CTR::ExtraPad::IsSampling,
0x0010E928,U,000124,nn::ndm::Initialize,
0x0010E9B4,U,000672,,
0x0010EC74,U,000100,nn::snd::CTR::Finalize,
0x0010ECF4,U,000252,,
0x0010EDF8,U,000144,nn::srv::detail::Connect,
0x0010EE98,U,000056,nn::srv::detail::Service::EnableNotification,
0x0010EED4,U,000116,,
0x0010EF48,U,000440,nn::font::ResFont::SetResource,
0x0010F120,U,000060,nn::font::ResFont::SetDrawBuffer,
0x0010F15C,U,000144,nw::font::ResFont::GetDrawBufferSize,
0x0010F1F4,U,000028,,
0x0010F210,U,000016,nn::gxlow::CTR::SetAppletMode,
0x0010F224,U,000088,,
0x0010F250,U,000020,Boot::initialize,
0x0010F264,U,000028,nn::applet::CTR::EnableSleep,
0x0010F284,U,000052,nn::applet::CTR::DisableSleep,
0x0010F2BC,U,000012,nn::applet::CTR::GetAttribute,
0x0010F2CC,U,000028,nn::applet::CTR::IsInfoAccess,
0x0010F2EC,U,000012,nn::applet::CTR::SetAttribute,
0x0010F2FC,U,000012,nn::applet::CTR::IsInitialized,
0x0010F30C,U,000052,,
0x0010F344,U,000140,nn::applet::CTR::InitializeWrapper,
0x0010F3D8,U,000012,nn::applet::CTR::IsReceivedWakeupByCancel,
0x0010F3E8,U,000264,nn::applet::CTR::ProcessHomeButtonAndWait,
0x0010F4F8,U,000012,nn::applet::CTR::GetSleepNotificationState,
0x0010F508,U,000036,,
0x0010F52C,U,000012,nn::applet::CTR::SetId,
0x0010F53C,U,000064,nn::applet::CTR::detail::Disconnect,
0x0010F588,U,000012,nn::applet::CTR::detail::InitializeMutex,
0x0010F598,U,000132,nn::applet::CTR::detail::GetAppletManInfo,
0x0010F61C,U,000456,nn::applet::CTR::detail::StartSystemApplet,
0x0010F7FC,U,000012,nn::applet::CTR::detail::SetInitialParamSize,
0x0010F80C,U,000012,nn::applet::CTR::detail::GetOrderToCloseState,
0x0010F81C,U,000016,nn::applet::CTR::detail::SetInitialParamValid,
0x0010F830,U,000008,nn::applet::CTR::detail::GetInitialParamBuffer,
0x0010F83C,U,000012,nn::applet::CTR::detail::SetInitialWakeupState,
0x0010F84C,U,000352,nn::applet::CTR::detail::InitializeClientThread,
0x0010F9CC,U,000012,nn::applet::CTR::detail::SetInitialParamSenderId,
0x0010F9DC,U,000248,nn::applet::CTR::detail::PrepareToStartSystemApplet,
0x0010FAE8,U,000072,nn::applet::CTR::detail::APPLET::Initialize,
0x0010FB38,U,000084,nn::applet::CTR::detail::APPLET::GetLockHandle,
0x0010FB94,U,000076,,
0x0010FBE8,U,000052,,
0x0010FC24,U,000048,nn::applet::CTR::detail::APPLET::Enable,
0x0010FC5C,U,000100,nn::applet::CTR::detail::Connect,
0x0010FCCC,U,000424,nn::hidlow::CTR::PadLifoRing::ReadData,
0x0010FE74,U,000372,nn::hidlow::CTR::TouchPanelLifoRing::ReadData,
0x0010FFE8,U,000644,REDSPARK_Sd_Initialize,
0x0011027C,U,000016,Grp::SetClearColor,
0x00110290,U,000108,Grp::end,
0x001102FC,U,000148,Grp::begin,
0x00110390,U,000020,Mem_CopyImpl,
0x001103A4,U,002096,Mem::Copy,
0x00110BE4,U,000292,Mem::Fill,
0x00110D08,U,000008,CtrNwAlc_initMem,
0x00110D10,U,000024,Mem::Free,
0x00110D28,U,002940,,
0x00111924,U,000488,Prim_FUN_00111924,
0x00111B1C,U,000144,Prim_FUN_00111b1c,
0x00111BC4,U,000036,Prim::disableCull,
0x00111BEC,U,000028,Prim::setDrawMode,
0x00111C08,U,000036,Prim_set,
0x00111C30,U,000048,Prim_FUN_00111c30,
0x00111C60,U,000144,Prim_FUN_00111c60,
0x00111CF8,U,000036,Prim::disableAlphaTest,
0x00111D20,U,000088,Prim::enableStencilTest,
0x00111D78,U,000200,Prim_FUN_00111d78,
0x00111E48,U,000036,Prim_FUN_00111e48,
0x00111E70,U,000192,Prim::setBlend,
0x00111F30,U,000024,PrimVtxBuf::~PrimVtxBuf,
0x00111F48,U,000040,Prim::~Prim,
0x00111F70,U,000088,CtrFS::CtrFS,
0x00111FD8,U,000064,CtrFS::~CtrFS,
